PID,File_name,Youtube_id,Num_person,Song_name,Style,Occlusion,Lose_of_tracking,Num_frames,Num_bboxes,Original_title,,,,,,
4,000_ZhuDSdmby8k.mp4,ZhuDSdmby8k,5,Rollin,K-POP,V,V,5983,27594,"______ (Brave Girls) - __ (Rollin') Dance Practice Video (__ ver.)","2->0, 4->1, 0->2, 1->3, 3->4",,,,,
11,001_FvfBGRSycQQ.mp4,FvfBGRSycQQ,7,Stupid Liar,Choreography,V,V,2483,14730,"[Wa$$up] Stupid Liar ____","0->0, 1->1,6->2, 4->3, 3->4, 5->5, 2->6",,,,,
16,002_T4vr8mA4hoY.mp4,T4vr8mA4hoY,5,Full moon shine,K-POP,V,V,6294,28263,_____ __ __ __ - ___ / Full moon shine Dance Practice - BIGSTAR,"4->0, 2->1, 0->2, 1->3, 3->4",,,,,
19,003_Js76pyw4UDk.mp4,Js76pyw4UDk,3,Tiger shroff,Choreography,X,X,4101,10752,Tiger shroff- Sunday Timepass ||Saki saki song (Dance practice || maxinstatv,,,,,,
22,004_O0Y5ewoMOjU.mp4,O0Y5ewoMOjU,3,Flash Back,Choreography,V,X,2778,7516,"____ / __ Flash Back / ____ Yuchi Lee",,,,,,
27,005_LuidpS7an4w.mp4,LuidpS7an4w,5,Akwaaba,Choreography,V,X,1596,6747,Akwaaba - GuiltyBeatz x Mr Eazi x Patapaa X Pappy Kojo _ YODA AFROBEATS CHOREOGRAPHY,,,,,,
30,006_ON6GQ7lUZBM.mp4,ON6GQ7lUZBM,3,ASTRODISCO,Locking,V,X,1768,3863,ASTRODISCO(FUNKANOMICS RMX) -  WARP9 _ HAMONG LOCKING,"2->0, 0->1, 1->2",,,,,
34,007_FTSl3VWnCaU.mp4,E_31o3NSgHk,4,GO GET HER,K-POP,V,X,6014,22597,"BRANDNEWZ (___, ___, ___, ___) 'GO GET HER' DANCE PRACTICE","3->0, 1->1, 2->2, 0->3",,,,,
39,008_qz2311gT1y4.mp4,qz2311gT1y4,5,DRUG,Choreography,V,X,1485,5932,CHANY CHOREOGRAPHY | DRUG - ___ LEEBADA,"0->0, 3->1, 2->2, 1->3, 4->4",,,,,
42,009_3iNoS5utYL4.mp4,3iNoS5utYL4,3,Dilemma,Popping,V,X,2001,5142,Dilemma (Miiiiito POPPING REMIX) _ SUHYEON Girls Hip Hop Class,"1->0, 0->1, 2->2",,,,,
47,010_A0mfE8pBLqg.mp4,A0mfE8pBLqg,5,,ZUMBA,V,V,5845,23808,FireHouse _ Zumba Fitness _ Daddy Yankee,"1->0, 2->1, 4->2, 3->3, 0->4",,,,,
52,011_N64zW8iDe9I.mp4,N64zW8iDe9I,5,Little Scarlet Bad Girl,J-POP,V,X,6687,31014,Little Scarlet Bad Girl [___________ _____],,,,,,
59,012_EFVCxU49bWM.mp4,EFVCxU49bWM,7,Breakfast,Hip hop,V,V,1178,5475,Little Simz - Breakfast _ SONJU Hip Hop Class,"2->0,  4->1,  0->2, 1->3, 6->4, 5->5, 3->6",,,,53~,75~
66,013_t463QgtOo-c.mp4,t463QgtOo-c,7,SPOTLIGHT,K-POP,V,V,5634,33132,"PUNCH x SILENTO - SPOTLIGHT Dance Practice Video / __ x ____ - ______ __ __ __","4->0, 3->1, 5->2, 6->3, 1->4, 2->5, 0->6",,,,,
70,014_E--IWzJznxo.mp4,E--IWzJznxo,4,,ZUMBA,X,V,6947,25758,Quang Tao Cay Boong (Huynh James x Pjnboys) _ Zumba Dace Workout _ Zumba Fitness Vietnam_ Lamita,"1->0, 3->1, 2->2, 0->3",,,,,
78,015_B3syPoisQMU.mp4,B3syPoisQMU,8,,Choreography,V,V,1653,9917,Summer Camp-Street Dance School - Part 3_3 - Startaed 7 rings,,,,,,
82,016_1hl-3HrwMw4.mp4,1hl-3HrwMw4,4,,J-POP,X,X,3456,8815,_____________________________,,,,,,
87,017_UDJPTG5IQVM.mp4,W5qE-Wdh2io,5,Do Things Right,Choreography,V,V,2106,8227,___ feat. __  ___ _____Do Things Right (___)_#___ #__ #TRAP #___-UDJPTG5IQVM,"4->0, 1->1, 3->2, 2->3, 0->4",,,,,
91,018_trftzcE6kXA.mp4,6D9wMWs4pks,4,K_DA,K-POP,V,X,4535,16225,[MIRROR] K_DA - POP_STARS (Dance Practice) _ League of Legends,"0->0, 2->1, 3->2, 1->3",,,,,
96,019_vm--8m-dKvE.mp4,vm--8m-dKvE,5,Be my love,K-POP,V,X,5716,27605,[Road Boyz(_____)] __ ____? (Be my love Dance Practice),"1->0, 3->1,  2->2, 4->3, 0->4",,,,,
99,020_7jRvxkYuYvk.mp4,7jRvxkYuYvk,3,,J-POP,X,X,7978,23568,_______________ ________,"1->0, 2->1, 0->2",,,,,
